value,ioc_type,category,confidence,tlp,sources,tags,first_seen,last_seen,description
64.227.146.163,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|ftp|persistent|spam|mail|imap|pop3|ssh|brute-force|ziyadnz|hourly,2026-07-14T13:58:34Z,2026-07-14T13:58:34Z,
167.94.146.53,ipv4,threat,high,WHITE,capelabs/threatmesh|blocklist.de/ssh|blocklist.de/all|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|ftp|persistent|spam|mail|imap|pop3|ssh|brute-force|ziyadnz|hourly,2026-07-14T13:58:34Z,2026-07-14T13:58:34Z,
164.52.0.92,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|ftp|persistent|spam|mail|imap|pop3|ssh|brute-force|ziyadnz|hourly,2026-07-14T13:58:34Z,2026-07-14T13:58:34Z,
20.168.0.218,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|ftp|persistent|spam|mail|imap|pop3|ssh|brute-force|ziyadnz|hourly,2026-07-14T13:58:34Z,2026-07-14T13:58:34Z,
66.240.205.34,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|ftp|persistent|spam|mail|imap|pop3|ssh|brute-force|ziyadnz|hourly,2026-07-14T13:58:34Z,2026-07-14T13:58:34Z,
172.202.117.213,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|ftp|persistent|spam|mail|imap|pop3|ssh|brute-force|ziyadnz|hourly,2026-07-14T13:58:34Z,2026-07-14T13:58:34Z,
20.169.85.114,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|ftp|persistent|spam|mail|imap|pop3|ssh|brute-force|ziyadnz|hourly,2026-07-14T13:58:34Z,2026-07-14T13:58:34Z,
48.217.87.78,ipv4,threat,medium,WHITE,capelabs/threatmesh,capelabs|threatmesh|blocklist.de|ftp|persistent|spam|mail|imap|pop3|ssh|brute-force|ziyadnz|hourly,2026-07-14T13:58:34Z,2026-07-14T13:58:34Z,
152.32.254.89,ipv4,threat,high,WHITE,capelabs/threatmesh|blocklist.de/ssh|blocklist.de/all|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|ftp|persistent|spam|mail|imap|pop3|ssh|brute-force|ziyadnz|hourly,2026-07-14T13:58:34Z,2026-07-14T13:58:34Z,
124.156.179.141,ipv4,threat,medium,WHITE,capelabs/threatmesh,capelabs|threatmesh|blocklist.de|ftp|persistent|spam|mail|imap|pop3|ssh|brute-force|ziyadnz|hourly,2026-07-14T13:58:34Z,2026-07-14T13:58:34Z,
20.64.97.136,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|ftp|persistent|spam|mail|imap|pop3|ssh|brute-force|ziyadnz|hourly,2026-07-14T13:58:34Z,2026-07-14T13:58:34Z,
194.165.16.161,ipv4,threat,high,WHITE,capelabs/threatmesh|blocklist.de/ssh|blocklist.de/all|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|ftp|persistent|spam|mail|imap|pop3|ssh|brute-force|ziyadnz|hourly,2026-07-14T13:58:34Z,2026-07-14T13:58:34Z,
43.157.150.69,ipv4,threat,medium,WHITE,capelabs/threatmesh,capelabs|threatmesh|blocklist.de|ftp|persistent|spam|mail|imap|pop3|ssh|brute-force|ziyadnz|hourly,2026-07-14T13:58:34Z,2026-07-14T13:58:34Z,
66.175.213.4,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|ftp|persistent|spam|mail|imap|pop3|ssh|brute-force|ziyadnz|hourly,2026-07-14T13:58:34Z,2026-07-14T13:58:34Z,
43.157.147.3,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|ftp|persistent|spam|mail|imap|pop3|ssh|brute-force|ziyadnz|hourly,2026-07-14T13:58:34Z,2026-07-14T13:58:34Z,
194.165.16.167,ipv4,threat,high,WHITE,capelabs/threatmesh|blocklist.de/ssh|blocklist.de/all|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|ftp|persistent|spam|mail|imap|pop3|ssh|brute-force|ziyadnz|hourly,2026-07-14T13:58:34Z,2026-07-14T13:58:34Z,
