value,ioc_type,category,confidence,tlp,sources,tags,first_seen,last_seen,description
100.23.75.120,ipv4,compromised,medium,WHITE,EmergingThreats/compromised-ips|ziyadnz/hourly-ipv4,emerging-threats|compromised|blocklist.de|imap|pop3|persistent|ftp|ssh|spam|mail|brute-force|ziyadnz|hourly,2026-06-27T08:44:24Z,2026-06-27T08:44:24Z,
101.200.77.117,ipv4,compromised,medium,WHITE,EmergingThreats/compromised-ips|ziyadnz/hourly-ipv4,emerging-threats|compromised|blocklist.de|imap|pop3|persistent|ftp|ssh|spam|mail|brute-force|ziyadnz|hourly,2026-06-27T08:44:24Z,2026-06-27T08:44:24Z,
101.200.96.234,ipv4,compromised,medium,WHITE,EmergingThreats/compromised-ips|ziyadnz/hourly-ipv4,emerging-threats|compromised|blocklist.de|imap|pop3|persistent|ftp|ssh|spam|mail|brute-force|ziyadnz|hourly,2026-06-27T08:44:24Z,2026-06-27T08:44:24Z,
101.201.226.38,ipv4,compromised,medium,WHITE,EmergingThreats/compromised-ips|ziyadnz/hourly-ipv4,emerging-threats|compromised|blocklist.de|imap|pop3|persistent|ftp|ssh|spam|mail|brute-force|ziyadnz|hourly,2026-06-27T08:44:24Z,2026-06-27T08:44:24Z,
101.201.233.222,ipv4,compromised,medium,WHITE,EmergingThreats/compromised-ips|ziyadnz/hourly-ipv4,emerging-threats|compromised|blocklist.de|imap|pop3|persistent|ftp|ssh|spam|mail|brute-force|ziyadnz|hourly,2026-06-27T08:44:24Z,2026-06-27T08:44:24Z,
101.47.28.226,ipv4,compromised,high,WHITE,EmergingThreats/compromised-ips|blocklist.de/ssh|blocklist.de/all|ziyadnz/hourly-ipv4,emerging-threats|compromised|blocklist.de|imap|pop3|persistent|ftp|ssh|spam|mail|brute-force|ziyadnz|hourly,2026-06-27T08:44:24Z,2026-06-27T08:44:24Z,
101.96.192.45,ipv4,compromised,high,WHITE,EmergingThreats/compromised-ips|blocklist.de/ssh|blocklist.de/all|ziyadnz/hourly-ipv4,emerging-threats|compromised|blocklist.de|imap|pop3|persistent|ftp|ssh|spam|mail|brute-force|ziyadnz|hourly,2026-06-27T08:44:24Z,2026-06-27T08:44:24Z,
102.210.148.203,ipv4,compromised,medium,WHITE,EmergingThreats/compromised-ips|ziyadnz/hourly-ipv4,emerging-threats|compromised|blocklist.de|imap|pop3|persistent|ftp|ssh|spam|mail|brute-force|ziyadnz|hourly,2026-06-27T08:44:24Z,2026-06-27T08:44:24Z,
103.24.212.42,ipv4,compromised,high,WHITE,EmergingThreats/compromised-ips|blocklist.de/ssh|blocklist.de/all|ziyadnz/hourly-ipv4,emerging-threats|compromised|blocklist.de|imap|pop3|persistent|ftp|ssh|spam|mail|brute-force|ziyadnz|hourly,2026-06-27T08:44:24Z,2026-06-27T08:44:24Z,
103.28.16.162,ipv4,compromised,medium,WHITE,EmergingThreats/compromised-ips|ziyadnz/hourly-ipv4,emerging-threats|compromised|blocklist.de|imap|pop3|persistent|ftp|ssh|spam|mail|brute-force|ziyadnz|hourly,2026-06-27T08:44:24Z,2026-06-27T08:44:24Z,
103.77.246.158,ipv4,compromised,medium,WHITE,EmergingThreats/compromised-ips|ziyadnz/hourly-ipv4,emerging-threats|compromised|blocklist.de|imap|pop3|persistent|ftp|ssh|spam|mail|brute-force|ziyadnz|hourly,2026-06-27T08:44:24Z,2026-06-27T08:44:24Z,
103.85.66.217,ipv4,compromised,medium,WHITE,EmergingThreats/compromised-ips|ziyadnz/hourly-ipv4,emerging-threats|compromised|blocklist.de|imap|pop3|persistent|ftp|ssh|spam|mail|brute-force|ziyadnz|hourly,2026-06-27T08:44:24Z,2026-06-27T08:44:24Z,
