value,ioc_type,category,confidence,tlp,sources,tags,first_seen,last_seen,description
64.62.156.105,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
64.62.156.100,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
172.202.118.45,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
65.49.1.235,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
48.217.87.78,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
20.65.202.2,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
20.46.245.69,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
45.156.129.135,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
172.236.228.198,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
65.49.1.187,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
104.152.52.115,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
87.236.176.189,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
172.208.25.111,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
45.156.128.49,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
65.49.1.239,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
45.156.129.52,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
43.167.232.38,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
199.45.155.79,ipv4,threat,high,WHITE,capelabs/threatmesh|blocklist.de/ssh|blocklist.de/all|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
147.185.132.49,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
65.49.1.234,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
49.51.50.147,ipv4,threat,medium,WHITE,capelabs/threatmesh,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
43.166.240.231,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
65.49.1.241,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
45.156.128.131,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
64.89.163.82,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
65.49.1.233,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
65.49.1.158,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
