value,ioc_type,category,confidence,tlp,sources,tags,first_seen,last_seen,description
https://spydisec.com,url,threat,medium,WHITE,spydisec/stats,spydisec,2026-05-31T13:59:21Z,2026-05-31T13:59:21Z,
https://spydisec.com/stats.json,url,threat,medium,WHITE,spydisec/stats,spydisec,2026-05-31T13:59:21Z,2026-05-31T13:59:21Z,
https://spydisec.com/filtered_malicious_iplist.txt,url,threat,medium,WHITE,spydisec/stats,spydisec,2026-05-31T13:59:21Z,2026-05-31T13:59:21Z,
https://spydisec.com/master_malicious_iplist.txt,url,threat,medium,WHITE,spydisec/stats,spydisec,2026-05-31T13:59:21Z,2026-05-31T13:59:21Z,
https://spydisec.com/master_c2_iplist.txt,url,threat,medium,WHITE,spydisec/stats,spydisec,2026-05-31T13:59:21Z,2026-05-31T13:59:21Z,
https://spydisec.com/threatfoxallips.txt,url,threat,medium,WHITE,spydisec/stats,spydisec,2026-05-31T13:59:21Z,2026-05-31T13:59:21Z,
https://spydisec.com/threatfoxhighconfidenceips.txt,url,threat,medium,WHITE,spydisec/stats,spydisec,2026-05-31T13:59:21Z,2026-05-31T13:59:21Z,
https://spydisec.com/osinthoneypotfeed.txt,url,threat,medium,WHITE,spydisec/stats,spydisec,2026-05-31T13:59:21Z,2026-05-31T13:59:21Z,
https://spydisec.com/ip_ioc_maltrail.txt,url,threat,medium,WHITE,spydisec/stats,spydisec,2026-05-31T13:59:21Z,2026-05-31T13:59:21Z,
https://spydisec.com/maliciousblocklist.txt,url,threat,medium,WHITE,spydisec/stats,spydisec,2026-05-31T13:59:21Z,2026-05-31T13:59:21Z,
https://spydisec.com/spamblocklist.txt,url,threat,medium,WHITE,spydisec/stats,spydisec,2026-05-31T13:59:21Z,2026-05-31T13:59:21Z,
https://spydisec.com/adsblocklist.txt,url,threat,medium,WHITE,spydisec/stats,spydisec,2026-05-31T13:59:21Z,2026-05-31T13:59:21Z,
https://spydisec.com/permanentMaliciousDomainList.txt,url,threat,medium,WHITE,spydisec/stats,spydisec,2026-05-31T13:59:21Z,2026-05-31T13:59:21Z,
https://spydisec.com/domain_ioc_maltrail.txt,url,threat,medium,WHITE,spydisec/stats,spydisec,2026-05-31T13:59:21Z,2026-05-31T13:59:21Z,
https://spydisec.com/high_confidence_limited.txt,url,threat,medium,WHITE,spydisec/stats,spydisec,2026-05-31T13:59:21Z,2026-05-31T13:59:21Z,
https://spydisec.com/high_confidence_unlimited.txt,url,threat,medium,WHITE,spydisec/stats,spydisec,2026-05-31T13:59:21Z,2026-05-31T13:59:21Z,
https://spydisec.com/medium_confidence_limited.txt,url,threat,medium,WHITE,spydisec/stats,spydisec,2026-05-31T13:59:21Z,2026-05-31T13:59:21Z,
https://spydisec.com/medium_confidence_unlimited.txt,url,threat,medium,WHITE,spydisec/stats,spydisec,2026-05-31T13:59:21Z,2026-05-31T13:59:21Z,
https://spydisec.com/low_confidence.txt,url,threat,medium,WHITE,spydisec/stats,spydisec,2026-05-31T13:59:21Z,2026-05-31T13:59:21Z,
https://spydisec.com/fullIPblocklist.txt,url,threat,medium,WHITE,spydisec/stats,spydisec,2026-05-31T13:59:21Z,2026-05-31T13:59:21Z,
https://spydisec.com/permanentfullIPblocklist.txt,url,threat,medium,WHITE,spydisec/stats,spydisec,2026-05-31T13:59:21Z,2026-05-31T13:59:21Z,
https://spydisec.com/diff/added_ips.txt,url,threat,medium,WHITE,spydisec/stats,spydisec,2026-05-31T13:59:21Z,2026-05-31T13:59:21Z,
https://spydisec.com/diff/removed_ips.txt,url,threat,medium,WHITE,spydisec/stats,spydisec,2026-05-31T13:59:21Z,2026-05-31T13:59:21Z,
spydisec.com,domain,threat,medium,WHITE,spydisec/stats,spydisec,2026-05-31T13:59:21Z,2026-05-31T13:59:21Z,
stats.json,domain,threat,medium,WHITE,spydisec/stats,spydisec,2026-05-31T13:59:21Z,2026-05-31T13:59:21Z,
threatfoxallips.txt,domain,threat,medium,WHITE,spydisec/stats,spydisec,2026-05-31T13:59:21Z,2026-05-31T13:59:21Z,
threatfoxhighconfidenceips.txt,domain,threat,medium,WHITE,spydisec/stats,spydisec,2026-05-31T13:59:21Z,2026-05-31T13:59:21Z,
osinthoneypotfeed.txt,domain,threat,medium,WHITE,spydisec/stats,spydisec,2026-05-31T13:59:21Z,2026-05-31T13:59:21Z,
maliciousblocklist.txt,domain,threat,medium,WHITE,spydisec/stats,spydisec,2026-05-31T13:59:21Z,2026-05-31T13:59:21Z,
spamblocklist.txt,domain,threat,medium,WHITE,spydisec/stats,spydisec,2026-05-31T13:59:21Z,2026-05-31T13:59:21Z,
adsblocklist.txt,domain,threat,medium,WHITE,spydisec/stats,spydisec,2026-05-31T13:59:21Z,2026-05-31T13:59:21Z,
permanentmaliciousdomainlist.txt,domain,threat,medium,WHITE,spydisec/stats,spydisec,2026-05-31T13:59:21Z,2026-05-31T13:59:21Z,
fullipblocklist.txt,domain,threat,medium,WHITE,spydisec/stats,spydisec,2026-05-31T13:59:21Z,2026-05-31T13:59:21Z,
permanentfullipblocklist.txt,domain,threat,medium,WHITE,spydisec/stats,spydisec,2026-05-31T13:59:21Z,2026-05-31T13:59:21Z,
